EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,Department_clean,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Data_Quality_Notes
RM191,52,46-55,No,Travel_Rarely,699,Research & Development,Research & Development,1,4,Life Sciences,1,259,3,Male,65,2,5,Manager,3,Married,19999,15k+,5678,0,Y,No,14,3,1,80,1,34,5,3,33,18,11,9,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM747,41,36-45,No,Non-Travel,247,Research & Development,,7,1,Life Sciences,1,1035,2,Female,55,1,5,Research Director,3,Divorced,19973,15k+,20284,1,Y,No,22,4,2,80,2,21,3,3,21,16,5,10,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM852,56,55+,No,Travel_Rarely,718,Research & Development,,4,4,Technical Degree,1,1191,4,Female,92,3,5,Manager,1,Divorced,19943,15k+,18575,4,Y,No,13,3,4,80,1,28,2,3,5,2,4,2,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM166,50,46-55,No,Travel_Rarely,1452,Research & Development,,11,3,Life Sciences,1,226,3,Female,53,3,5,Manager,2,Single,19926,15k+,17053,3,Y,No,15,3,2,80,0,21,5,3,5,4,4,4,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM569,55,46-55,Yes,Travel_Rarely,725,Research & Development,,2,3,Medical,1,787,4,Male,78,3,5,Manager,1,Married,19859,15k+,21199,5,Y,Yes,13,3,4,80,1,24,2,3,5,2,1,4,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM919,51,46-55,No,Travel_Frequently,237,Sales,,9,3,Life Sciences,1,1282,4,Male,83,3,5,Manager,2,Divorced,19847,15k+,19196,4,Y,Yes,24,4,1,80,1,31,5,2,29,10,,10,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM750,52,46-55,Yes,Travel_Rarely,266,Sales,,2,1,Marketing,1,1038,1,Female,57,1,5,Manager,4,Married,19845,15k+,25846,1,Y,No,15,3,4,80,1,33,3,3,32,14,6,9,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1243,40,36-45,No,Travel_Rarely,611,Sales,,7,4,Medical,1,1740,2,Male,88,3,5,Manager,2,Single,19833,15k+,4349,1,Y,No,14,3,2,80,0,21,3,2,21,8,12,8,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM899,43,36-45,No,Travel_Rarely,920,Research & Development,,3,3,Life Sciences,1,1255,3,Male,96,1,5,Research Director,4,Married,19740,15k+,18625,3,Y,No,14,3,2,80,1,25,2,3,8,7,0,7,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM957,56,55+,No,Travel_Rarely,206,Human Resources,,8,4,Life Sciences,1,1338,4,Male,99,3,5,Manager,2,Single,19717,15k+,4022,6,Y,No,14,3,1,80,0,36,4,3,7,3,7,7,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1010,58,55+,No,Travel_Rarely,1055,Research & Development,,1,3,Medical,1,1423,4,Female,76,3,5,Research Director,1,Married,19701,15k+,22456,3,Y,Yes,21,4,3,80,1,32,3,3,9,8,1,5,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1332,48,46-55,No,Travel_Rarely,1224,Research & Development,,10,3,Life Sciences,1,1867,4,Male,91,2,5,Research Director,2,Married,19665,15k+,13583,4,Y,No,12,3,4,80,0,29,3,3,22,10,12,9,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1155,47,46-55,No,Travel_Rarely,1176,Human Resources,,26,4,Life Sciences,1,1625,4,Female,98,3,5,Manager,3,Married,19658,15k+,5220,3,Y,No,11,3,3,80,1,27,2,3,5,2,1,0,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1402,55,46-55,No,Travel_Rarely,189,Human Resources,,26,4,Human Resources,1,1973,3,Male,71,4,5,Manager,2,Married,19636,15k+,25811,4,Y,Yes,18,3,1,80,1,35,0,3,10,9,1,4,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM771,46,46-55,No,Travel_Rarely,430,Research & Development,,1,4,Medical,1,1069,4,Male,40,3,5,Research Director,4,Divorced,19627,15k+,21445,9,Y,No,17,3,4,80,2,23,0,3,2,2,2,2,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM815,40,36-45,No,Travel_Rarely,1308,Research & Development,,14,3,Medical,1,1128,3,Male,44,2,5,Research Director,3,Single,19626,15k+,17544,1,Y,No,14,3,1,80,0,21,2,4,20,7,4,9,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1130,42,36-45,No,Travel_Rarely,1059,Research & Development,,9,2,Other,1,1595,4,Male,93,2,5,Manager,4,Single,19613,15k+,26362,8,Y,No,22,4,4,80,0,24,2,3,1,0,0,1,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1117,55,46-55,No,Travel_Rarely,685,Sales,,26,5,Marketing,1,1578,3,Male,60,2,5,Manager,4,Married,19586,15k+,23037,1,Y,No,21,4,3,80,1,36,3,3,36,6,2,13,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM412,60,55+,No,Travel_Rarely,422,Research & Development,,7,3,Life Sciences,1,549,1,Female,41,3,5,Manager,1,Married,19566,15k+,3854,5,Y,No,11,3,4,80,0,33,5,1,29,8,11,10,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM046,41,36-45,Yes,Travel_Rarely,1360,Research & Development,,12,3,Technical Degree,1,58,2,Female,49,3,5,Research Director,3,Married,19545,15k+,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM124,51,46-55,No,Travel_Rarely,684,Research & Development,,6,3,Life Sciences,1,162,1,Male,51,3,5,Research Director,3,Single,19537,15k+,6462,7,Y,No,13,3,3,80,0,23,5,3,20,18,15,15,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM234,50,46-55,No,Travel_Rarely,854,Sales,,1,4,Medical,1,323,4,Female,68,3,5,Manager,4,Divorced,19517,15k+,24118,3,Y,No,11,3,3,80,1,32,3,2,7,0,0,6,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM498,44,36-45,No,Travel_Rarely,1315,Research & Development,,3,4,Other,1,671,4,Male,35,3,5,Manager,4,Married,19513,15k+,9358,4,Y,Yes,12,3,1,80,1,26,2,4,2,2,0,1,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM474,49,46-55,No,Travel_Rarely,1245,Research & Development,,18,4,Life Sciences,1,638,4,Male,58,2,5,Research Director,3,Divorced,19502,15k+,2125,1,Y,Yes,17,3,3,80,1,31,5,3,31,9,0,9,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM258,40,36-45,No,Travel_Rarely,1416,Research & Development,,2,2,Medical,1,352,1,Male,49,3,5,Research Director,3,Divorced,19436,15k+,5949,0,Y,No,19,3,4,80,1,22,5,3,21,7,3,,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1438,39,36-45,No,Non-Travel,105,Research & Development,,9,3,Life Sciences,1,2022,4,Male,87,3,5,Manager,4,Single,19431,15k+,15302,2,Y,No,13,3,3,80,0,21,3,2,6,0,1,3,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM717,41,36-45,No,Travel_Frequently,840,Research & Development,,9,3,Medical,1,999,1,Male,64,3,5,Research Director,3,Divorced,19419,15k+,3735,2,Y,No,17,3,2,80,1,21,2,4,18,16,0,11,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM393,54,46-55,No,Travel_Rarely,821,Research & Development,Research & Development,5,2,Medical,1,522,1,Male,86,3,5,Research Director,1,Married,19406,15k+,8509,4,Y,No,11,3,3,80,1,24,4,2,4,2,1,2,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1331,43,36-45,No,Travel_Rarely,823,Research & Development,Research & Development,6,3,Medical,1,1866,1,Female,81,2,5,Manager,3,Married,19392,15k+,22539,7,Y,No,13,3,4,80,0,21,2,3,16,12,6,14,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1127,50,46-55,No,Travel_Rarely,264,Sales,Research & Development,9,3,Marketing,1,1591,3,Male,59,3,5,Manager,3,Married,19331,15k+,19519,4,Y,Yes,16,3,3,80,1,27,2,3,1,0,0,0,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1278,46,46-55,No,Travel_Rarely,734,Research & Development,Research & Development,2,4,Medical,1,1789,3,Male,46,3,5,Research Director,4,Divorced,19328,15k+,14218,7,Y,Yes,17,3,3,80,1,24,3,3,2,1,2,2,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM327,39,36-45,No,Travel_Frequently,672,Research & Development,Research & Development,7,2,Medical,1,444,3,Male,54,2,5,Manager,4,Married,19272,15k+,21141,1,Y,No,15,3,1,80,1,21,2,3,21,9,13,3,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM596,58,55+,Yes,Travel_Rarely,286,Research & Development,Sales,2,4,Life Sciences,1,825,4,Male,31,3,5,Research Director,2,Single,19246,15k+,25761,7,Y,Yes,12,3,4,80,0,40,2,3,31,15,13,8,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM767,50,46-55,No,Travel_Rarely,1464,Research & Development,Sales,2,4,Medical,1,1061,2,Male,62,3,5,Research Director,3,Married,19237,15k+,12853,2,Y,Yes,11,3,4,80,1,29,2,2,8,1,7,7,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM232,42,36-45,No,Travel_Rarely,532,Research & Development,Sales,4,2,Technical Degree,1,319,3,Male,58,3,5,Manager,4,Married,19232,15k+,4933,1,Y,No,11,3,4,80,0,22,3,3,22,17,11,15,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM245,45,36-45,No,Travel_Rarely,252,Research & Development,Research & Development,1,3,Other,1,336,3,Male,70,4,5,Manager,4,Married,19202,15k+,15970,0,Y,No,11,3,3,80,1,25,2,3,24,0,1,7,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM401,39,36-45,No,Travel_Frequently,1218,Research & Development,Human Resources,1,1,Life Sciences,1,531,2,Male,52,3,5,Manager,3,Divorced,19197,15k+,8213,1,Y,Yes,14,3,3,80,1,21,3,3,21,8,1,6,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM923,44,36-45,No,Travel_Rarely,1199,Research & Development,Research & Development,4,2,Life Sciences,1,1288,3,Male,92,4,5,Manager,1,Divorced,19190,15k+,17477,1,Y,No,14,3,4,80,2,26,4,2,25,9,14,13,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM539,41,36-45,No,Travel_Rarely,314,Human Resources,Research & Development,1,3,Human Resources,1,734,4,Male,59,2,5,Manager,3,Married,19189,15k+,19562,1,Y,No,12,3,2,80,1,22,3,3,22,7,2,10,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM956,55,46-55,No,Travel_Rarely,282,Research & Development,Human Resources,2,2,Medical,1,1336,4,Female,58,1,5,Manager,3,Married,19187,15k+,6992,4,Y,No,14,3,4,80,1,23,5,3,19,9,9,11,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1378,49,46-55,No,Travel_Frequently,1064,Research & Development,Human Resources,2,1,Life Sciences,1,1941,2,Male,42,3,5,Research Director,4,Married,19161,15k+,13738,3,Y,No,15,3,4,80,0,28,3,3,5,4,4,3,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM280,50,46-55,No,Travel_Rarely,797,Research & Development,Research & Development,4,1,Life Sciences,1,385,1,Male,96,3,5,Research Director,2,Divorced,19144,15k+,15815,3,Y,No,14,3,1,80,2,28,4,2,10,4,1,6,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM536,41,36-45,No,Travel_Rarely,427,Human Resources,Research & Development,10,4,Human Resources,1,731,2,Male,73,2,5,Manager,4,Divorced,19141,15k+,8861,3,Y,No,15,3,2,80,3,23,2,2,21,6,12,6,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM026,53,46-55,No,Travel_Rarely,1282,Research & Development,Research & Development,5,3,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,19094,15k+,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,15,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM870,46,46-55,No,Travel_Rarely,1450,Research & Development,Sales,15,2,Life Sciences,1,1217,4,Male,52,3,5,Research Director,2,Married,19081,15k+,10849,5,Y,No,11,3,1,80,1,25,2,3,4,2,0,3,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM238,52,46-55,No,Non-Travel,771,Sales,Research & Development,2,4,Life Sciences,1,329,1,Male,79,2,5,Manager,3,Single,19068,15k+,21030,1,Y,Yes,18,3,4,80,0,33,2,4,33,7,15,12,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1141,44,36-45,No,Travel_Rarely,1313,Research & Development,Research & Development,7,3,Medical,1,1608,2,Female,31,3,5,Research Director,4,Divorced,19049,15k+,3549,0,Y,Yes,14,3,4,80,1,23,4,2,22,7,1,10,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM271,55,46-55,No,Travel_Rarely,452,Research & Development,Research & Development,1,3,Medical,1,374,4,Male,81,3,5,Manager,1,Single,19045,15k+,18938,0,Y,Yes,14,3,3,80,0,37,2,3,36,10,4,13,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1265,55,46-55,No,Travel_Rarely,478,Research & Development,Sales,2,3,Medical,1,1770,3,Male,60,2,5,Research Director,1,Married,19038,15k+,19805,8,Y,No,12,3,2,80,3,34,2,3,1,0,0,0,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM187,40,36-45,No,Travel_Rarely,989,Research & Development,Research & Development,4,1,Medical,1,253,4,Female,46,3,5,Manager,3,Married,19033,15k+,6499,1,Y,No,14,3,2,80,1,21,2,3,20,8,9,9,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM030,46,46-55,No,Travel_Rarely,705,Sales,Research & Development,2,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,18947,15k+,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1444,42,36-45,No,Travel_Rarely,300,Research & Development,Research & Development,2,3,Life Sciences,1,2031,1,Male,56,3,5,Manager,3,Married,18880,15k+,17312,5,Y,No,11,3,1,80,0,24,2,2,22,6,4,14,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM106,59,55+,No,Non-Travel,1420,Human Resources,Research & Development,2,4,Human Resources,1,140,3,Female,32,2,5,Manager,4,Married,18844,15k+,21922,9,Y,No,21,4,4,80,1,30,3,3,3,2,2,2,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM914,45,36-45,Yes,Travel_Rarely,1449,Sales,Research & Development,2,3,Marketing,1,1277,1,Female,94,1,5,Manager,2,Single,18824,15k+,2493,2,Y,Yes,16,3,1,80,0,26,2,3,24,10,1,11,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM917,46,46-55,No,Travel_Rarely,168,Sales,Research & Development,4,2,Marketing,1,1280,4,Female,33,2,5,Manager,2,Married,18789,15k+,9946,2,Y,No,14,3,3,80,1,26,2,3,11,4,0,8,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM063,50,46-55,No,Travel_Rarely,989,Research & Development,Research & Development,7,2,Medical,1,80,2,Female,43,2,5,Research Director,3,Divorced,18740,15k+,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM188,55,46-55,No,Travel_Rarely,692,Research & Development,Sales,14,4,Medical,1,254,3,Male,61,4,5,Research Director,2,Single,18722,15k+,13339,8,Y,No,11,3,4,80,0,36,3,3,24,15,2,15,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM900,49,46-55,No,Travel_Rarely,1098,Research & Development,Research & Development,4,2,Medical,1,1256,1,Male,85,2,5,Manager,3,Married,18711,15k+,12124,2,Y,No,13,3,3,80,1,23,2,4,1,0,0,0,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM291,49,46-55,No,Travel_Frequently,636,Research & Development,Research & Development,10,4,Life Sciences,1,396,3,Female,35,3,5,Research Director,1,Single,18665,15k+,25594,9,Y,Yes,11,3,4,80,0,22,4,3,3,2,1,2,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM859,53,46-55,No,Travel_Rarely,1223,Research & Development,Research & Development,7,2,Medical,1,1201,4,Female,50,3,5,Manager,3,Divorced,18606,15k+,18640,3,Y,No,18,3,2,80,1,26,6,3,7,7,4,7,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM585,42,36-45,No,Travel_Frequently,570,Research & Development,Research & Development,8,3,Life Sciences,1,809,2,Male,66,3,5,Manager,4,Divorced,18430,15k+,16225,1,Y,No,13,3,2,80,1,24,4,2,24,7,14,9,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM742,42,36-45,No,Travel_Rarely,265,Sales,Research & Development,5,2,Marketing,1,1029,4,Male,90,3,5,Manager,3,Married,18303,15k+,7770,6,Y,No,13,3,2,80,0,21,3,4,1,0,0,0,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM330,47,46-55,No,Travel_Rarely,1482,Research & Development,Research & Development,5,5,Life Sciences,1,447,4,Male,42,3,5,Research Director,3,Married,18300,15k+,16375,4,Y,No,11,3,2,80,1,21,2,3,3,2,1,1,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
